pair_id,round,industry,pair_role,company,quantitative_score,project_cost_oku,subsidy_oku,demand,constraint,transformation,regional,execution,strategic,qualitative_total,core_strong_count,strong_factors,evidence,coding_confidence,analysis_exclusion_recommended,pdf_url
L08,1次,運輸業・郵便業,公開定量スコア低位,信光陸運株式会社,0.398,22,7.3,2,1,3,1,3,2,12,2,需要根拠の具体性 / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,食品保管への転換、アサヒロジとの連携、場所・工期を明示,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_162.pdf
L08,1次,運輸業・郵便業,公開定量スコア高位,株式会社シーエル,0.575,21,6.3,3,3,3,2,3,2,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,150社の荷主、増加する需要、センター不足、運送から3PLへの転換,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
L09,2次,製造業,公開定量スコア低位,上山製紙株式会社,0.326,30,9.9,1,3,3,3,2,2,14,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,能力330トン×3から1800トン、地域に同業不在、災害時供給,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__206.pdf
L09,2次,製造業,公開定量スコア高位,ヤマシンスチール株式会社,0.537,29.7,8.3,3,3,2,3,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,国内シェア70%、顧客増産要請、月880から1260トン、設備を特定,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__205.pdf
L10,2次,製造業,公開定量スコア低位,株式会社ティー・シー・ピー,0.434,21.756,7,2,3,3,3,3,2,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,国内回帰・知財、リードタイムと検査制約、工場・設備を具体化,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__199.pdf
L10,2次,製造業,公開定量スコア高位,メック株式会社,0.601,23,5.5,2,3,2,1,3,3,14,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,能力40%増、クリーンルームとパイロット、半導体技術,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__204.pdf
L11,2次,製造業,公開定量スコア低位,ZACROS株式会社,0.495,129,41,1,3,2,0,1,2,9,2,能力制約の明確さ / 事業・工程の構造転換 / 政策・戦略分野との整合,3m幅塗工と能力1.3倍、ポートフォリオ転換だが顧客需要は一般論,medium,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__194.pdf
L11,2次,製造業,公開定量スコア高位,池田糖化工業株式会社,0.766,161.913,50,1,2,3,0,1,2,9,2,能力制約の明確さ / 事業・工程の構造転換 / 政策・戦略分野との整合,新商品・海外展開と高付加価値化だが需要・実行の具体性は限定的,medium,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__192.pdf
L12,2次,製造業,公開定量スコア低位,株式会社八立製作所,0.216,13.4,4.2,2,2,2,3,1,2,12,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 政策・戦略分野との整合,顧客ニーズ、小松大阪向けブラケット80%シェア、国内供給網,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__196.pdf
L12,2次,製造業,公開定量スコア高位,株式会社イズミテクノ,0.382,17,5.3,2,2,3,1,3,3,14,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,独自の粒子制御コーティング、全自動ライン、半導体用途,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__200.pdf
L13,3次,製造業,公開定量スコア低位,都吹株式会社,0.414,32,10,3,3,3,3,2,2,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,既存顧客の引合い、能力限界、冷凍豆腐輸出、地元大豆・港湾・雇用,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_140.pdf
L13,3次,製造業,公開定量スコア高位,株式会社ファーストダウン,0.586,31,10,1,3,1,3,2,2,12,2,能力制約の明確さ / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,日産40万から60万パック、11人から1人、163人雇用、農業供給網,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_209.pdf
L14,3次,製造業,公開定量スコア低位,中本Fine Pack株式会社,0.467,35,9.7,3,2,3,2,2,3,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,エフピコの要請、PET循環、素材から製品までの一貫化,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_216.pdf
L14,3次,製造業,公開定量スコア高位,株式会社PXP,0.718,37,9.6,1,3,3,2,3,3,15,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,実証済み、25MW工場、次世代CIGSとエネルギー安全保障,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_186.pdf
L15,3次,製造業,公開定量スコア低位,株式会社英楽,0.287,19,6.3,2,3,3,3,2,2,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,IQF導入、人手不足、AIウォーターカッター、食品産地の雇用,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_40.pdf
L15,3次,製造業,公開定量スコア高位,モルツウェル株式会社,0.658,18,5.9,3,3,2,3,3,2,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,受注増加、2027年の能力不足、3万から7万食、用地取得,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_88.pdf
L16,3次,製造業,公開定量スコア低位,東亜薬品株式会社,0.501,190,46,2,3,2,1,2,3,13,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,医薬品不足・規制対応、保管ボトルネック、新製剤棟,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_81.pdf
L16,3次,製造業,公開定量スコア高位,日本エア・リキード合同会社,0.767,203,50,2,2,1,2,2,3,12,3,需要根拠の具体性 / 能力制約の明確さ / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,大規模ガス供給能力、半導体供給と経済安全保障,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_234.pdf
L17,3次,製造業,公開定量スコア低位,ハビックス株式会社,0.423,36,9.8,1,2,3,2,2,3,13,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,素材から衛生用品・OEMへの展開、戦略提携,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_65.pdf
L17,3次,製造業,公開定量スコア高位,キングパーツ株式会社,0.518,34,11,2,3,2,3,2,3,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,工場制約、能力2倍、国内生産と経済安全保障,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_212.pdf
L18,3次,製造業,公開定量スコア低位,大和鋼業株式会社,0.408,39,12,2,3,3,2,2,2,14,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,20%外注の内製化、供給業者の事業承継問題,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_23.pdf
L18,3次,製造業,公開定量スコア高位,株式会社ファイン,0.501,36,11,1,2,3,1,2,3,12,2,能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,医療食・OTCの海外展開、ジェネリック医薬品,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_197.pdf
L19,3次,製造業,公開定量スコア低位,中央製乳株式会社,0.418,66,15,1,3,2,3,2,2,13,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,能力・設備老朽化、新しいチルドカップ、地域酪農供給網,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_42.pdf
L19,3次,製造業,公開定量スコア高位,至誠堂製薬株式会社,0.583,58,16,3,3,3,2,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,大手製薬の引合い、能力限界、バッチ2～4倍・能力10倍、15か国,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_71.pdf
L20,3次,製造業,公開定量スコア低位,株式会社キド,0.39,26,5.7,3,3,2,3,2,3,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,5～6年先までの受注、増産要請、リードタイム4分の1、戦略タンク,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_83.pdf
L20,3次,製造業,公開定量スコア高位,株式会社 八天堂,0.529,26,8.3,2,3,3,3,3,2,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,日産7万個の限界、OEM・賞味期限延長、FSSC、地域コンソーシアム,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_214.pdf
L21,3次,製造業,公開定量スコア低位,株式会社ライト製作所,0.367,66,16,3,3,3,2,2,3,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,複数医療機器メーカーからの要請、能力2倍、2工場体制,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_27.pdf
L21,3次,製造業,公開定量スコア高位,東亜工業株式会社,0.731,57,19,2,2,2,3,3,3,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,SUBARU・BEVライン、1230億円投資との連動、地域自動車集積,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_93.pdf
L22,3次,製造業,公開定量スコア低位,北海道乳業株式会社,0.623,97,29,2,3,3,3,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,用地・能力限界、ヨーグルト国内シェア30%、酪農供給網、AI・ロボット,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_89.pdf
L22,3次,製造業,公開定量スコア高位,味覚糖株式会社,0.725,117,39,2,3,3,1,2,2,13,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,189億円規模の能力増、工程ボトルネック、米国輸出,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_22.pdf
L23,3次,製造業,公開定量スコア低位,株式会社田中食品興業所,0.405,20,6.6,2,2,3,1,2,2,12,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,大手製パン会社、海外向けフィリング、多品種自動化,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_45.pdf
L23,3次,製造業,公開定量スコア高位,株式会社トッカコーポレーション,0.574,17,5.5,2,2,3,2,3,2,14,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,包装外注化需要、専門包装、ISO・特許・人材育成,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_60.pdf
L24,3次,製造業,公開定量スコア低位,長野牛乳株式会社,0.414,89,22,3,3,2,3,2,2,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,増産要請、能力2倍超、2から4ライン、地域酪農供給網,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_87.pdf
L24,3次,製造業,公開定量スコア高位,栄屋乳業株式会社,0.75,61,20,2,3,3,2,2,2,14,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,既存工場がフル稼働、輸出向け冷凍品、新工場,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_173.pdf
L25,3次,サービス業_他に分類されないもの,公開定量スコア低位,株式会社フォース,0.444,36,7.3,1,3,3,1,3,3,14,2,能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,再生砂の処理制約、完全3R、設備計画を具体化,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_96.pdf
L25,3次,サービス業_他に分類されないもの,公開定量スコア高位,有価物回収協業組合　石坂グループ,0.604,42,12,3,3,3,3,3,3,18,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,自治体・TSMC需要、AI選別、災害・廃棄物対応,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_90.pdf
L26,3次,運輸業・郵便業,公開定量スコア低位,Ｌ物流株式会社,0.514,46,14,1,2,3,3,3,2,14,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,4サービス統合、地域コールドチェーン、用地・設備・特許,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_85.pdf
L26,3次,運輸業・郵便業,公開定量スコア高位,日生流通運輸倉庫株式会社,0.661,81,17,2,3,3,3,2,2,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,冷蔵保管率100%超、食品供給プラットフォーム、24バース,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_17.pdf
L27,4次,製造業,公開定量スコア低位,フクビ岡山株式会社,0.381,36.52,9,1,3,2,2,3,3,14,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,断熱規制需要、能力限界、投資額・ラインを具体化,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_192.pdf
L27,4次,製造業,公開定量スコア高位,株式会社キィポーション,0.642,37,9.1,3,3,3,3,3,3,18,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,実名A/B/C社の受注、5工場統合、ODM化、FSSC、自治体・雇用,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_127.pdf
L28,4次,製造業,公開定量スコア低位,NICHIRO株式会社,0.527,33,11,1,3,3,2,2,3,14,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,能力200%、一貫ライン、AIデータセンター用途,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_208.pdf
L28,4次,製造業,公開定量スコア高位,株式会社 日本橋冷凍手島商店,0.636,34.35,11.17,3,3,3,3,3,3,18,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,航空会社・小売需要、製氷不足、輸出、生活インフラとしての氷,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_222.pdf
L29,4次,製造業,公開定量スコア低位,リバードコーポレーション株式会社,0.334,59.18,18.6,1,3,3,3,2,2,14,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,垂直統合D2Cペットフード、能力ボトルネック、地域雇用,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_194.pdf
L29,4次,製造業,公開定量スコア高位,アサヒプリテック株式会社,0.529,61.67,19.11,2,3,3,2,2,3,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,貴金属リサイクル、新元素、半導体・水素、資源安全保障,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_211.pdf
L30,4次,製造業,公開定量スコア低位,株式会社コスモス食品,0.327,16.84,3.92,1,3,3,2,2,2,13,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,フリーズドライ能力40%増、即食・海外、認証,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_115.pdf
L30,4次,製造業,公開定量スコア高位,株式会社群馬コイケ,0.548,16.12,4.03,3,3,3,1,3,3,16,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,受注加速、造船会社との共同開発、輸出、設備計画,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_119.pdf
L31,4次,製造業,公開定量スコア低位,日本海精錬株式会社,0.355,15.15,4.99,1,3,3,3,3,3,16,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,鉛処理120から250トン/日、PPリサイクル、再投資8000万円、地域循環,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_226.pdf
L31,4次,製造業,公開定量スコア高位,株式会社トノックス,0.487,16.41,4.73,2,3,3,3,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,工場フル稼働、用地取得、自社ブランドEV・自動運転・特装車,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_227.pdf
L32,4次,製造業,公開定量スコア低位,株式会社サン海苔,0.174,13.88,4.26,2,3,3,3,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,生産者発祥企業、能力不足、HACCP、輸出、地域海苔供給網,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_149.pdf
L32,4次,製造業,公開定量スコア高位,丹羽鋳造株式会社,0.387,13,3.72,1,3,1,1,2,2,10,1,能力制約の明確さ / 実行確度 / 政策・戦略分野との整合,物流ボトルネックと将来自動化,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_148.pdf
L33,4次,製造業,公開定量スコア低位,能勢酒造株式会社,0.358,18.85,5.07,3,3,3,3,3,2,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,良品計画を実名提示、能力2.2倍、リターナブル瓶、ISO,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_206.pdf
L33,4次,製造業,公開定量スコア高位,株式会社山本製作所,0.612,19.62,6.4,2,3,3,3,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,内製率98%、世界向け産業洗浄、能力限界、地域ものづくり,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_225.pdf
L34,4次,製造業,公開定量スコア低位,セーレンアドバンストマテリアルズ株式会社,0.456,43.53,14.11,3,3,2,1,2,3,14,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,顧客との共同R&D、工場フル稼働、AI・EV・LiDAR用途,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_146.pdf
L34,4次,製造業,公開定量スコア高位,三恵株式会社,0.588,47.64,11.7,3,3,3,2,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,顧客増産要請、内製化で15%原価減、FSS・OEM設計、設備具体化,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_162.pdf
L35,4次,製造業,公開定量スコア低位,杉プラスチック工業株式会社,0.317,20,4.9,2,2,2,2,2,3,13,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,顧客の増産要請、自動化、資源循環,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_122.pdf
L35,4次,製造業,公開定量スコア高位,株式会社シー・エス・ケイ,0.659,17.69,5.9,3,3,3,2,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,工場能力限界、集約・自動化、インフラ・再エネ用途,high,True,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_144.pdf
L36,4次,卸売業・小売業,公開定量スコア低位,株式会社カネヒロ,0.357,12.43,3.09,3,3,3,2,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,未充足の引合い、能力2倍・内製化、TSMC地域、上流設計参入,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_167.pdf
L36,4次,卸売業・小売業,公開定量スコア高位,株式会社アダチ,0.459,17.36,4.09,3,3,3,2,2,2,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,実名スーパー、受注・新規商談、物流から提案型サービスへの転換,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_113.pdf
