pair_id,lower_demand,lower_constraint,lower_transformation,lower_regional,lower_execution,lower_strategic,lower_evidence,higher_demand,higher_constraint,higher_transformation,higher_regional,higher_execution,higher_strategic,higher_evidence,pair_interpretation,coding_confidence
L30,1,3,3,2,2,2,"フリーズドライ能力40%増、即食・海外、認証",3,3,3,1,3,3,"受注加速、造船会社との共同開発、輸出、設備計画","高側は受注と共同開発、低側は能力制約と市場転換で補完",high
L31,1,3,3,3,3,3,"鉛処理120から250トン/日、PPリサイクル、再投資8000万円、地域循環",2,3,3,3,3,3,"工場フル稼働、用地取得、自社ブランドEV・自動運転・特装車","両社とも能力制約・構造転換・地域・実行・政策性が強く、需要表現だけ差",high
L32,2,3,3,3,3,3,"生産者発祥企業、能力不足、HACCP、輸出、地域海苔供給網",1,3,1,1,2,2,"物流ボトルネックと将来自動化","低数値側の方が複数の質的要因で強く、公開数値だけの評価限界を示す",high
L33,3,3,3,3,3,2,"良品計画を実名提示、能力2.2倍、リターナブル瓶、ISO",2,3,3,3,3,3,"内製率98%、世界向け産業洗浄、能力限界、地域ものづくり","両社とも具体需要と能力制約が明確、実行資産が採択を支える",high
L34,3,3,2,1,2,3,"顧客との共同R&D、工場フル稼働、AI・EV・LiDAR用途",3,3,3,2,3,3,"顧客増産要請、内製化で15%原価減、FSS・OEM設計、設備具体化","高側は顧客要請を内製化・設計機能へつなぎ、効果を定量化",high
L35,2,2,2,2,2,3,"顧客の増産要請、自動化、資源循環",3,3,3,2,3,3,"工場能力限界、集約・自動化、インフラ・再エネ用途","高側は制約から統合投資への因果が明確、低側は顧客要請と政策性",high
L36,3,3,3,2,3,3,"未充足の引合い、能力2倍・内製化、TSMC地域、上流設計参入",3,3,3,2,2,2,"実名スーパー、受注・新規商談、物流から提案型サービスへの転換","両社とも実名顧客と事業変革が強く、低側は能力増と実行設計で補う",high
L37,2,2,3,3,3,3,"機械商社からロボットSIerへ、デモラボ、地域DX、実証",1,3,3,3,2,2,"倉庫ボトルネック、3PL参入、地域建材物流","低側は業態転換と実証、高側は物流制約と地域代替困難性",high
L38,3,3,2,1,2,3,"実名製薬・国立研究機関、6～12か月待ち、非臨床試験能力",2,3,3,1,3,3,"2ラボ集約、用地候補、ISO・特許、インド展開","低側は顧客名と待機期間、高側は統合・認証・知財で実行確度を補強",high
L39,2,2,3,3,2,2,"危険物業務の外部化需要、ワンストップ化、地域で限定的なインフラ",3,2,3,2,2,2,"トヨタ調達物流の要請、自動車集積向けサービス","低側は地域の代替困難性、高側はアンカー企業要請が中心",high
L40,3,3,3,3,2,2,"複数顧客から保管拡張要請、能力限界、地域食品3PL",2,3,2,3,3,2,"港湾コールドチェーン、配車8倍、JR九州との連携","低側は複数顧客要請と3PL転換、高側は港湾インフラと提携で採択説明",high
