case_id,company,application_round,matched_treated_company,fact_n,unique_url_n,pre_or_contemporaneous_n,post_adoption_n,undated_n,score_total,demand,capacity_constraint,business_transformation,regional_supply_chain,policy_fit,execution_finance,crisis_or_succession,external_validation,plausible_reason,counterevidence,confidence,research_gaps
s2_outline_69,松村フーズ株式会社,3次,株式会社北海道ちぬやファーム,3,3,1,1,1,15,2,2,2,2,2,3,0,2,既存の全国低温物流網と自動化設備の運用実績を土台に、過酷な冷凍庫内作業の省人化と保税機能を追加する計画である。採択者側から見れば、技術実証を終えたオペレーターが次の規模へ拡張するため、実行リスクが比較的低かった可能性が高い。,公開資料では、補助事業に直結する荷主の発注書、庫腹率、失注額、外部倉庫費用を確認できない。既存物流業の増床という側面も強く、事業転換の新規性は限定的である。,Medium,申請時点の荷主別取扱量、冷凍倉庫稼働率、保税需要、採用難・労災データ、群馬銀行確認書の評価内容が必要。
s2_outline_62,株式会社エネルギーギャップ,3次,株式会社高木製作所,4,4,1,2,1,19,2,2,3,3,3,2,1,3,太陽電池・蓄電池・EMSを国内で一体供給する政策適合性が極めて明確で、既存の出水工場と自治体関係もあった。採択者側は、単なる能力増強ではなく、輸入依存の強い蓄電池サプライチェーンを国内化する拠点として評価した可能性がある。,公開概要にある国内12GWh・米国20GWh等の案件量は第三者資料で検証できない。約87億円規模の投資に対し、公開された従業員規模は小さく、需要確度・資金調達・立上げ能力のリスクは大きい。出水市との増設協定は採択後であり、採択理由の先行証拠にはできない。,Medium,案件パイプラインの顧客名・拘束力、電池セルの調達先、量産歩留まり、運転資金、借入・出資条件、認証取得計画の確認が必要。
s2_outline_109,株式会社ヤマイシ,3次,高知食糧株式会社,4,4,3,1,0,20,3,2,2,3,3,3,1,3,地域の学校給食・外食・水産流通を支える既存インフラであり、対EU認定と農水省の輸出計画も持つ。冷蔵能力の増強は、自社売上だけでなく青森の水産物保管・輸出・地域給食を同時に支えるため、低い可視指標を補う供給網上の重要性が評価された可能性が高い。,不足庫腹量、外部倉庫費、入庫拒否・失注量は公開情報で確認できない。輸出計画は目標であり実績保証ではなく、ホタテ供給・輸出規制・漁獲変動の影響を受ける。,High,温度帯別稼働率、荷主別契約、学校給食供給量、輸出計画の進捗、冷蔵倉庫増築による第三者便益の定量化が必要。
s2_outline_127,株式会社キィポーション,4次,オギハラ食品株式会社,4,4,2,1,1,21,2,2,3,3,3,3,2,3,食品包装の多拠点運営、JFS-B/HACCP、女性中心の雇用という既存資産があり、それを工場統合と企画・追加加工・包装・保管・流通を束ねるODMへ転換する計画である。地域の小規模菓子メーカーの事業承継・販路問題まで解く『産業基盤型』の物語が、単純な企業成長率以上に評価された可能性がある。,地域メーカーの廃業回避や大手流通の需要について、相手先名・基本合意・数量は公開されていない。会社サイトの従業員436人とGビズインフォの133人には時点・集計範囲の差があり、雇用効果の基準を慎重に扱う必要がある。,High,ODM顧客候補、承継支援対象、SKU・包装ライン稼働率、工場間移動費、女性雇用の常用換算、統合後の品質・物流KPIが必要。
s2_outline_134,池田薬品工業株式会社,4次,フクビ岡山株式会社,4,4,3,1,0,22,3,2,3,3,3,3,2,3,外用剤に特化した長期のGMP製造能力、実名の製薬取引先・製品実績があり、一般的な新工場より需要と技術の結び付きが強い。高齢者皮膚疾患向け安定供給、競合の少ない高薬理活性剤への集中、若返り・専門人材育成を一つの投資で実現する点が評価された可能性が高い。,補助事業に直結する『重要顧客2社の増産要請』の顧客名、数量、拘束力は公開されていない。業界団体が示す年4万kg能力に対する現稼働率も不明で、新工場が不可欠な能力制約かは外部資料だけでは確定できない。,High,製品別受注残、既存ライン稼働率、技術移管契約、薬事承認・GMP査察日程、高薬理活性封じ込め能力、顧客集中度、後継人材計画が必要。
s2_outline_152,株式会社大熊製作所,4次,リバードコーポレーション株式会社,4,4,2,1,1,20,3,3,3,2,2,3,1,3,実名の大手OEM顧客、一貫生産、海外展開、自動化実績に加え、採択前に広い隣接用地を取得して部分稼働まで進めていた。審査上は、顧客のサプライヤー集約に応える能力増強と、板金から塗装までを自動接続する具体的な実装準備が、可視指標以上の実現可能性として働いた可能性がある。,主要取引先の掲載は補助事業向けの発注保証ではなく、OEM別数量や増産要請は公開されない。トラック・建機市況への集中リスクがあり、スマート工場化が事業モデル変革なのか既存工程の効率化なのかは評価が分かれる。,High,OEM別受注残・内示、サプライヤー集約通知、塗装外注費、設備OEE、土地・建物投資の自己資金比率、製品別採算が必要。
s2_outline_167,株式会社カネヒロ,4次,南島酒販株式会社,4,4,2,1,1,18,2,2,3,3,2,3,0,3,熊本で長年操業し、幅広いアルミ材を素材調達から試作・量産加工まで扱う既存能力がある。新工場で企画・設計・試作から量産までの動線と能力を一体化することで、九州の二輪・四輪・半導体等の集積に対する短納期供給拠点になる点が評価された可能性がある。,補助事業向けの顧客名、受注内示、現工場の稼働率・狭隘度は外部資料で確認できない。多業種対応は需要分散の強みである一方、どの市場の成長に賭ける計画かが曖昧になりうる。,Medium,顧客別内示、機械別稼働率、試作から量産への転換率、現工場の物流ロス、地域調達比率、新規雇用・技能訓練計画が必要。
s2_outline_131,株式会社中村畜産,4次,奥伊吹観光株式会社,4,4,1,1,2,17,2,2,3,3,2,3,0,2,90年超の仕入れ・目利き・加工販売実績と全国の調達網を持ち、加工・保管・トレーサビリティを自動化することで、外食・小売の人手不足を上流で吸収する計画である。単なる増産ではなく、枝肉から高付加価値加工品までの垂直統合と安定供給が評価された可能性がある。,日量・月間取扱量は会社自己申告で、補助事業の需要増を示す顧客名・注文量・問い合わせ記録は公開されない。部分肉格付認定は品質能力を示すが、新工場の必要性や成長性を直接保証しない。,Medium,顧客別受注、加工品比率、歩留まり、冷蔵・加工ライン稼働率、廃棄率、人手作業時間、認証の適用範囲、外食・小売向け長期契約が必要。
s2_outline_144,株式会社シー・エス・ケイ,4次,明和工業株式会社,4,4,2,1,1,18,2,2,3,2,2,3,1,3,既に売上約91億円と100億円目前で、複数工程一貫受注と拠点再編の具体案があり、業界誌でも採択前から自動化・スキルレス化が確認できる。リース共同申請を含む実装体制もあり、『成長の蓋を外す最後の大型投資』として説明しやすかった可能性がある。,100億宣言は企業自身の宣言で、顧客の発注保証ではない。建設・建機需要の顧客名、受注残、既存設備の稼働率が公開されず、拠点集約効果と新規市場効果を分離できない。,High,顧客別受注残、工程別ボトルネック、拠点間物流費、リース条件、自動化前後OEE、建設市況ストレステスト、新製品・新分野の売上計画が必要。
s2_outline_113,株式会社アダチ,4次,株式会社ファーストライン,3,3,2,0,1,16,2,2,2,2,2,3,0,3,需要増に対する倉庫不足・外部倉庫費というボトルネックを、本社新倉庫、在庫集約、IoT・基幹連携で解く因果関係が明瞭。既存売上、調達販売網、BCP認定、阿波銀行確認が実行可能性を補った可能性がある。,顧客の発注書、予約数量、倉庫稼働率、外部倉庫費実額は第三者確認できない。100億企業宣言も自己申告。,Medium,顧客別契約数量、倉庫容量・在庫回転、施工契約、土地権利、正式加点資格。
s2_outline_154,アルフレッド株式会社,4次,株式会社博多屋,3,3,3,0,0,19,3,2,3,1,3,3,1,3,法令改正で生じた大規模需要に対し、国内最大級ラボへの統合、ロボット・AI分析、ISO品質保証で能力制約を解く計画。行政支援と大学共同研究が若い企業の技術・市場実在性を補った。,同社の13万検体、国内シェア、2027年能力枯渇、顧客パイプラインは独立確認できない。全国市場の拡大は同社受注を保証しない。,High,検体数・稼働率・納期、顧客契約、用地・建築確認、競合増設、静岡銀行の関与内容。
s2_outline_136,木本製菓株式会社,4次,株式会社エム・ケー・ケー,3,3,2,0,1,17,1,1,3,2,2,3,2,3,築古・耐震課題のあるホテルを、富裕層・グループ旅行向け大型客室、温浴、デジタル運営、菓子店舗、災害対応、ZEBを組み合わせた新カテゴリーへ転換する案件。ホテル運営・許認可実績、所有地、金融機関確認が実行可能性を補った可能性がある。,予約、ADR、稼働率、旅行会社契約を確認できず、1室当たり投資額も大きい。2021年閉館後の長い営業空白がある。,Medium,客室数・ADR・RevPAR、旅行会社の需要証拠、建築確認・施工契約、資金調達条件。
s2_outline_175,化成工業株式会社,4次,株式会社コスモス食品,3,3,2,0,1,18,2,3,2,2,3,3,0,3,重要保安部品需要に対し、大型成形機、工場床、倉庫不足という具体的な物理制約を新棟・大型機・自動倉庫で解く案件。IATF、自動車安全部品実績、既存増設経験、金融機関確認が供給網価値と実行力を裏付ける。,発注書、設備稼働率、受注断念量、指定サプライヤー数は独立確認できない。EV需要と地域波及は一般論・未定量。,High,顧客内示、設備稼働率、倉庫外部費、設備契約、地域調達額。
s2_outline_119,株式会社群馬コイケ,4次,株式会社サン海苔,3,3,0,1,2,19,3,2,3,2,2,3,1,3,親会社・顧客の船舶向け増産需要に対し、親会社隣接地への工場新設、自動化、新製品開発で供給能力を増強する案件。長年の製造・認証実績、グループ内需要、共同申請者と銀行確認が実行可能性を補った可能性がある。,顧客発注量、契約、既存稼働率は第三者確認できない。親会社依存と造船市況の循環性がある。,Medium,親会社発注書、製品別受注残、現設備稼働率、工場用地・設備契約。
s2_outline_219,株式会社ナリコマフード,4次,株式会社ニシムタ,3,3,3,0,0,23,3,3,3,3,3,3,2,3,半年弱で37万食から42万食へ増えた観測可能な需要、既存6工場の運営実績、医療介護現場の人手不足という政策課題を背景に、第7工場で60万食体制を構築する案件。えるぼし最高位と三井住友銀行確認も補強材料。,80～90%稼働、個別顧客契約、岡山工場向け発注予約は主に申請PDF依存。市場需要が自動的に同社売上になるとは限らない。,High,工場別稼働率、施設別契約・解約率、土地売買・施工契約、物流コスト、資金調達条件。
s2_outline_158,株式会社セントラルフード,4次,株式会社ヤマキ食品,3,3,1,0,2,19,3,3,3,2,2,3,1,2,申請の約2年前から現工場3倍超の新工場と惣菜加工進出を公表し、過去にも能力上限から新工場を立ち上げた実績がある。自動搬送による省人化と生産倍増を同時に狙うため、計画成熟度と実行力が評価された可能性がある。,顧客名、発注書、最低購入量は未確認。3倍計画は会社自己申告で、原料価格・人手不足リスクもある。,Medium,顧客別要請、製品別稼働率、新工場の施工・設備契約、原料調達、採用計画。
s2_outline_122,杉プラスチック工業株式会社,4次,株式会社レクザム,3,2,1,0,2,20,2,3,3,2,3,3,1,3,築50年以上の建物・スペース不足という事業継続上の制約を、PETプリフォーム内製化、自動検査、スマート工場へ転換する案件。食品安全認証、多品種開発実績、ガラス代替・循環経済との政策接続が評価候補。,実名顧客、契約数量、現工場稼働率は確認できない。プラスチック規制、樹脂価格、需要変動リスクがある。,Medium,顧客需要、設備稼働率、建物診断、プリフォーム外注費、施工・設備契約。
s2_outline_132,株式会社コハラ,4次,株式会社環境整備産業,3,3,2,0,1,19,2,1,3,3,3,3,1,3,100年企業の機械工具商社が、展示、検証、教育、モデルラインを備える本社を核に、地域製造業向けロボットSIerへ転換する案件。申請前からNK-LAB活動と業界会員実績があり、単なる構想ではなく既存活動を拡張する計画だった。,顧客の注文、案件パイプライン、SIer売上、ラボ稼働率は公開されない。本社投資額がソフト・統合サービス事業に対して過大となる可能性がある。,Medium,顧客別SI案件、受注残、教育受講者数、SIer売上、建設契約、静岡銀行の評価内容。
